Id,RandomForest,XGBoost,Tunned?
0,0.818593,0.810356,No
1,0.831414,0.813209,No
2,0.824621,0.811772,No
3,0.830857,0.824144,No
4,0.808577,0.803614,No
5,0.819133,0.811507,No
6,0.830336,0.819650,No
7,0.826259,0.815580,No
8,0.820188,0.809301,No
9,0.834662,0.818809,No
10,0.842694,0.826633,Yes
11,0.851430,0.829301,Yes
12,0.846724,0.827057,Yes
13,0.856522,0.834039,Yes
14,0.830860,0.820184,Yes
15,0.838994,0.826036,Yes
16,0.850568,0.827812,Yes
17,0.851644,0.827323,Yes
18,0.846059,0.825931,Yes
19,0.850122,0.833766,Yes
